trial,plan iters,plan time,best cost
0,690,0.6004984378814697,8.009001426062548
0,1030,0.9768733978271484,7.614093065897057
0,1770,1.7966842651367188,7.596531411706772
0,3870,4.361050844192505,7.548415204175486
0,4100,4.673841953277588,7.497603306152895
0,16060,22.660555601119995,7.432853728891999
0,16350,23.13703680038452,7.369874184591268
0,16720,23.731554746627808,7.33338625928496
0,31680,49.31688117980957,7.318352502824668
0,36000,3600,7.318352502824668
1,2270,2.5896120071411133,7.671259250341213
1,2340,2.6782662868499756,7.434051801381837
1,2640,3.059882402420044,6.825447965220994
1,4310,5.278486251831055,6.7821156433647
